 Echipa 1
Barbara James 73
Linda Russell 27
John Moore 87
Ashley Moreno 21
Ashley Moreno 3
Timothy Ross 49
Edward Watson 1
Helen Wilson 79
Mary Baker 7
Kenneth Reed 37
Sharon Martin 41
Victoria Gray 51

 Echipa 2
Mark Wright 69
Carolyn Russell 67
Stephanie Sanchez 31
Mary Hayes 13
Tyler Nguyen 99
Sharon Martin 15
Catherine James 43
Eric Barnes 91
Laura Lee 17
Richard Thomas 59
Janet Bryant 85
Eric Watson 47

 Echipa 3
Angela Bell 97
Adam Ward 57
Ashley Moreno 63
Kenneth Reed 81
Timothy Ross 45
Angela Bell 89
Cynthia Ortiz 5
Anna Lee 55
Nicholas Wood 33
Jennifer Nguyen 75
Rachel Flores 93
Michael Hayes 29

 Echipa 4
Matthew Lee 65
George Hill 11
Mark Wright 39
Michael Hayes 71
Janet Bryant 19
Laura Thompson 83
Julie Hall 95
Barbara James 23
Donald Martin 61
Victoria Gray 25
Ronald Sanders 9
Tyler Martinez 35

